bank_code,bank_name
001,BCO DO BRASIL S.A.
003,BCO DA AMAZONIA S.A.
004,BCO DO NORDESTE DO BRASIL S.A.
007,BNDES
010,CREDICOAMO
011,C.SUISSE HEDGING
012,BANCO INBURSA
014,STATE STREET BR S.A. BCO COMERCIAL
015,UBS BRASIL CCTVM S.A.
016,CCM DESP TRÂNS SC E RS
017,BNY MELLON BCO S.A.
018,BCO TRICURY S.A.
021,BCO BANESTES S.A.
024,BCO BANDEPE S.A.
025,BCO ALFA S.A.
029,BANCO ITAÚ CONSIGNADO S.A.
033,BCO SANTANDER (BRASIL) S.A.
036,BCO BBI S.A.
037,BCO DO EST. DO PA S.A.
040,BCO CARGILL S.A.
041,BCO DO ESTADO DO RS S.A.
047,BCO DO EST. DE SE S.A.
060,CONFIDENCE CC S.A.
062,HIPERCARD BM S.A.
063,BANCO BRADESCARD
064,GOLDMAN SACHS DO BRASIL BM S.A.
065,BCO ANDBANK S.A.
066,BCO MORGAN STANLEY S.A.
069,BCO CREFISA S.A.
070,BRB
074,BCO. J.SAFRA S.A.
075,BCO ABN AMRO S.A.
076,BCO KDB BRASIL S.A.
077,BANCO INTER
078,HAITONG BI DO BRASIL S.A.
079,BCO ORIGINAL DO AGRO S/A
080,B&T CC LTDA.
081,BANCOSEGURO S.A.
082,BANCO TOPÁZIO S.A.
083,BCO DA CHINA BRASIL S.A.
084,UNIPRIME NORTE DO PARANÁ
085,COOP CENTRAL AILOS
088,BANCO RANDON S.A.
089,CREDISAN CC
091,CCCM UNICRED CENTRAL RS
092,BRK S.A. CFI
093,POLOCRED SCMEPP LTDA.
094,BANCO FINAXIS
095,TRAVELEX BANCO DE CÂMBIO S.A.
096,BCO B3 S.A.
097,CREDISIS CENTRAL DE COOPERATIVAS DE CRÉDITO LTDA.
098,CREDIALIANÇA CCR
099,UNIPRIME CENTRAL CCC LTDA.
100,PLANNER CV S.A.
101,RENASCENCA DTVM LTDA
102,XP INVESTIMENTOS CCTVM S/A
104,CAIXA ECONOMICA FEDERAL
105,LECCA CFI S.A.
107,BCO BOCOM BBM S.A.
108,PORTOCRED S.A.
111,OLIVEIRA TRUST DTVM S.A.
113,MAGLIANO S.A. CCVM
114,CENTRAL COOPERATIVA DE CRÉDITO NO ESTADO DO ESPÍRITO SANTO
117,ADVANCED CC LTDA
119,BCO WESTERN UNION
120,BCO RODOBENS S.A.
121,BCO AGIBANK S.A.
122,BCO BRADESCO BERJ S.A.
124,BCO WOORI BANK DO BRASIL S.A.
125,BANCO GENIAL
126,BR PARTNERS BI
127,CODEPE CVC S.A.
128,MS BANK S.A. BCO DE CÂMBIO
129,UBS BRASIL BI S.A.
130,CARUANA SCFI
131,TULLETT PREBON BRASIL CVC LTDA
132,ICBC DO BRASIL BM S.A.
133,CRESOL CONFEDERAÇÃO
134,BGC LIQUIDEZ DTVM LTDA
136,CONF NAC COOP CENTRAIS UNICRED
138,GET MONEY CC LTDA
139,INTESA SANPAOLO BRASIL S.A. BM
140,EASYNVEST
142,BROKER BRASIL CC LTDA.
143,TREVISO CC S.A.
144,BEXS BCO DE CAMBIO S.A.
145,LEVYCAM CCV LTDA
146,GUITTA CC LTDA
149,FACTA S.A. CFI
157,ICAP DO BRASIL CTVM LTDA.
159,CASA CREDITO S.A. SCM
163,COMMERZBANK BRASIL S.A.
173,BRL TRUST DTVM SA
174,PEFISA S.A.
177,GUIDE
180,CM CAPITAL MARKETS CCTVM LTDA
183,SOCRED SA
184,BCO ITAÚ BBA S.A.
188,ATIVA S.A. INVESTIMENTOS CCTVM
189,HS FINANCEIRA
190,SERVICOOP
191,NOVA FUTURA CTVM LTDA.
194,PARMETAL DTVM LTDA
196,FAIR CC S.A.
197,STONE PAGAMENTOS S.A.
208,BANCO BTG PACTUAL S.A.
212,BANCO ORIGINAL
213,BCO ARBI S.A.
217,BANCO JOHN DEERE S.A.
218,BCO BS2 S.A.
222,BCO CRÉDIT AGRICOLE BR S.A.
224,BCO FIBRA S.A.
233,BANCO CIFRA
237,BCO BRADESCO S.A.
241,BCO CLASSICO S.A.
243,BCO MÁXIMA S.A.
246,BCO ABC BRASIL S.A.
249,BANCO INVESTCRED UNIBANCO S.A.
250,BCV
253,BEXS CC S.A.
254,PARANA BCO S.A.
259,MONEYCORP BCO DE CÂMBIO S.A.
260,NU PAGAMENTOS S.A.
265,BCO FATOR S.A.
266,BCO CEDULA S.A.
268,BARI CIA HIPOTECÁRIA
269,BCO HSBC S.A.
270,SAGITUR CC LTDA
271,IB CCTVM S.A.
272,AGK CC S.A.
273,CCR DE SÃO MIGUEL DO OESTE
274,MONEY PLUS SCMEPP LTDA
276,BCO SENFF S.A.
278,GENIAL INVESTIMENTOS CVM S.A.
279,CCR DE PRIMAVERA DO LESTE
280,WILL FINANCEIRA S.A.CFI
281,CCR COOPAVEL
283,RB INVESTIMENTOS DTVM LTDA.
285,FRENTE CC LTDA.
286,CCR DE OURO
288,CAROL DTVM LTDA.
289,DECYSEO CC LTDA.
290,PAGSEGURO S.A.
292,BS2 DTVM S.A.
293,LASTRO RDV DTVM LTDA
296,VISION S.A. CC
298,VIPS CC LTDA.
299,BCO SOROCRED S.A.
300,BCO LA NACION ARGENTINA
301,BPP IP S.A.
306,PORTOPAR DTVM LTDA
307,TERRA INVESTIMENTOS DTVM
309,CAMBIONET CC LTDA
