bank_code, bank_name
001, Banco de Chile - Edwards
009, Banco Internacional
012, Banco Estado (Banco del Estado de Chile)
014, Scotiabank
016, BCI (Bco de Credito e Inv)
017, Banco do Brasil
027, Itau-Corpbanca
028, Banco Bice
031, Hsbc Bank
035, Banco Santiago
037, Banco Santander
039, Itau Chile
041, JP Morgan Chase Bank N.A.
043, Banco de La Nacion Argentina
045, The Bank of Tokyo-Mitsubishi Ufj Ltd
049, Banco Security
051, Banco Falabella
052, Deutsche Bank (Chile)
053, Banco Ripley
054, Rabobank
055, Banco Consorcio
056, Banco Penta
057, Banco Paris
059, Banco Ptg Pactual
099, Banco Nuevo
152, Prepago Los Heroes
504, BBVA (Bco Bilbao Vizcaya Arg)
507, Banco del Desarrollo
672, Coopeuch
