bank_code, bank_name
0001, Banco Central del Ecuador
0010, Banco Pichincha C.A.
0017, Banco de Guayaquil S.A
0024, Banco City Bank
0025, Banco Machala
0029, Banco de Loja
0030, Banco del Pacifico
0032, Banco Internacional
0034, Banco Amazonas
0035, Banco del Austro
0036, Produbanco/Promerica
0037, Banco Bolivariano
0039, Comercial de Manabi
0042, Banco General Ruminahui S.A.
0043, Banco del Litoral S.A.
0059, Banco Solidario
0060, Banco Procredit S.A.
0061, Banco Capital
0065, Banco Desarrollo de Los Pueblos S.A.
0066, Banecuador B.P.
0201, Banco Delbank S.A.
