bank_name,bank_code
ABC CAPITAL,40138
FINCOMUN,90634
ASP INTEGRA OPC,90659
INMOBILIARIO,40150
LIBERTAD,90670
ICBC,40155
PROFUTURO,90620
STP,90646
BANAMEX,40002
SANTANDER,40014
AZTECA,40127
PAGATODO,40148
GBM,90601
FOMPED,90689
CIBANCO,40143
VALUE,90605
INDEVAL,90902
BANXICO,2001
BAJIO,40030
BANCO COVALTO,40154
FINAMEX,90616
CoDi Valida,90903
BBVA MEXICO,40012
CREDICAPITAL,90652
INVEX,40059
CAJA TELEFONIST,90683
NVIO,90710
TESORED,90703
HIPOTECARIA FED,37168
JP MORGAN,40110
BARCLAYS,40129
SHINHAN,40157
MIZUHO BANK,40158
MIFEL,40042
UNAGRA,90656
ACTINVER,40133
HSBC,40021
SABADELL,40156
FONDO (FIRA),90685
BMONEX,40112
CB INTERCAM,90630
NU MEXICO,90638
AUTOFIN,40128
CAJA POP MEXICA,90677
VE POR MAS,40113
CONSUBANCO,40140
BANCREA,40152
Cuenca,90723
NAFIN,37135
MULTIVA BANCO,40132
BANSI,40060
CREDICLUB,90688
INTERCAM BANCO,40136
ARCUS,90706
SCOTIABANK,40044
MONEXCB,90600
CI BOLSA,90631
Mercado Pago W,90722
DONDE,40151
VECTOR,90608
BANJERCITO,37019
AFIRME,40062
BANORTE,40072
BANOBRAS,37009
INVERCAP,90686
TRANSFER,90684
BANCOPPEL,40137
VALMEX,90617
BANREGIO,40058
CLS,90901
BANK OF AMERICA,40106
BANKAOOL,40147
BANCO S3,40160
COMPARTAMOS,40130
ALTERNATIVOS,90661
MUFG,40108
MASARI,90602
KUSPIT,90653
BaBien,37166
INBURSA,40036
CRISTOBAL COLON,90680
BANCOMEXT,37006
VOLKSWAGEN,40141
BBASE,40145
BANK OF CHINA,40159
