bank_code, bank_name
0001, Banco Continental
0002, Banco de Credito
0003, Interbank
0004, Scotiabank
0005, Banco de Comercio
0006, Banco Interamericano de Finanzas (BanBif)
0007, Banco Pichincha
0008, Citibank
0009, MiBanco
0010, Scotiabank
0011, Banco GNB
0012, Banco Falabella
0013, Banco Ripley
0014, Banco Santander
0015, Banco Azteca
0016, Banco Cencosud
0017, ICBC PERU BANK
0018, Banco de la Nación
0019, Caja Arequipa
0020, Caja Cusco
0021, Caja Huancayo
0022, Caja Maynas
0023, Caja Metropolitana
0024, Caja Municipal Ica
0025, Caja Piura
0026, Caja Sullana
0027, Caja Tacna
0028, Caja Trujillo
