bank_code, bank_name
1, Banco Continental
2, Banco de Credito
3, Interbank
4, Scotiabank
5, Banco de Comercio
6, Banco Interamericano de Finanzas (BanBif)
7, Banco Pichincha
8, Citibank
9, MiBanco
11, Banco GNB
12, Banco Falabella
13, Banco Ripley
14, Banco Santander
15, Banco Azteca
16, Banco Cencosud
17, ICBC PERU BANK
18, Banco de la Naci?n
19, Caja Arequipa
20, Caja Cusco
21, Caja Huancayo
22, Caja Maynas
23, Caja Metropolitana
24, Caja Municipal Ica
25, Caja Piura
26, Caja Sullana
27, Caja Tacna
28, Caja Trujillo
